R,G,B,H,S,V,Texture,label
88.7445068359375,80.06903076171875,59.03955078125,73.73077392578125,69.04876708984375,95.22821044921875,59.359792653654665,ripe
162.09173583984375,160.9852294921875,131.235107421875,72.456787109375,86.43963623046875,173.51263427734375,49.10099321053629,ripe
175.0743408203125,183.4881591796875,175.89324951171875,92.55963134765625,53.63238525390625,194.451171875,38.8179518655144,ripe
142.4815673828125,145.75567626953125,123.91998291015625,75.2999267578125,80.73492431640625,157.70831298828125,68.44966571736454,ripe
109.64129638671875,112.08770751953125,105.05596923828125,62.93817138671875,52.16448974609375,121.41510009765625,83.1270686820142,ripe
174.4332275390625,180.01116943359375,170.59625244140625,85.0240478515625,62.3798828125,194.3170166015625,51.25226251354138,ripe
135.2181396484375,138.15435791015625,122.38671875,72.24151611328125,58.548828125,146.3232421875,76.95133991815013,ripe
112.88262939453125,115.11102294921875,108.16619873046875,62.2484130859375,50.47039794921875,124.44140625,86.0013393859669,ripe
163.2193603515625,165.56207275390625,140.492919921875,75.61688232421875,87.28363037109375,180.4755859375,48.71982195769227,ripe
165.776611328125,171.2061767578125,146.63385009765625,82.04620361328125,78.0382080078125,180.432373046875,56.04055777348063,ripe
174.558837890625,177.2176513671875,152.07440185546875,83.071044921875,74.1456298828125,188.8111572265625,48.34872610432582,ripe
104.89093017578125,95.23431396484375,74.084716796875,87.4207763671875,43.5489501953125,106.5528564453125,49.48800782677582,ripe
138.5244140625,140.40850830078125,131.9686279296875,76.850341796875,59.3499755859375,151.33233642578125,75.18698290809051,ripe
136.96221923828125,151.197021484375,150.5638427734375,69.16162109375,87.49542236328125,173.9713134765625,45.725290552510764,ripe
215.34539794921875,217.20465087890625,202.2579345703125,90.65960693359375,34.92315673828125,223.49346923828125,32.94777792799281,ripe
118.90045166015625,108.77667236328125,84.00274658203125,70.505126953125,100.02545166015625,131.9774169921875,63.480575883879006,ripe
128.017333984375,86.75787353515625,97.70269775390625,138.47705078125,111.1119384765625,129.82598876953125,46.31062122504336,ripe
162.50738525390625,166.758056640625,155.6767578125,87.134521484375,71.31463623046875,181.98272705078125,48.336257619022795,ripe
144.6187744140625,140.78057861328125,116.6190185546875,62.35443115234375,101.98443603515625,165.0887451171875,50.26886758818613,ripe
165.9385986328125,173.92578125,162.49822998046875,90.647705078125,61.94488525390625,184.90032958984375,40.38139776925966,ripe
168.8133544921875,170.364501953125,146.91015625,86.2042236328125,74.377197265625,181.54949951171875,48.827122842888926,ripe
173.11834716796875,177.3511962890625,155.8265380859375,84.653564453125,76.5511474609375,191.40960693359375,46.84831247734033,ripe
85.36248779296875,82.1949462890625,67.307373046875,70.54742431640625,84.45233154296875,98.2960205078125,59.62057229434283,ripe
212.93572998046875,214.49957275390625,204.4248046875,88.674560546875,32.91094970703125,222.235107421875,32.98669220403619,ripe
172.0814208984375,175.06500244140625,165.334716796875,86.40863037109375,57.97589111328125,187.30096435546875,49.88014621155429,ripe
165.44036865234375,172.357177734375,154.4779052734375,86.72509765625,68.96856689453125,182.5855712890625,44.26372460440504,ripe
159.940185546875,165.32080078125,155.8553466796875,84.448974609375,76.0013427734375,183.00299072265625,46.29576759844624,ripe
93.22027587890625,80.94097900390625,59.57720947265625,78.960205078125,47.3701171875,94.70745849609375,55.432438129118026,ripe
143.1531982421875,141.2083740234375,121.8531494140625,68.59429931640625,87.5064697265625,162.16375732421875,44.799328666465556,ripe
99.71295166015625,87.267822265625,61.02081298828125,68.11553955078125,72.5001220703125,102.8380126953125,56.38429714525081,ripe
160.77972412109375,143.9503173828125,99.77471923828125,46.1021728515625,119.59552001953125,173.19659423828125,53.00154246702272,ripe
200.199462890625,195.837890625,171.99560546875,54.3343505859375,59.0308837890625,211.07183837890625,32.96586021536466,ripe
89.822021484375,81.008544921875,57.6954345703125,65.25592041015625,54.98394775390625,93.31561279296875,64.45399320351615,ripe
168.23187255859375,169.007080078125,121.53094482421875,71.19891357421875,107.7027587890625,180.91668701171875,52.75163506846812,ripe
169.80218505859375,172.44818115234375,132.19091796875,74.429931640625,95.01129150390625,181.0531005859375,60.195292813295595,ripe
169.07501220703125,171.44964599609375,163.87042236328125,90.037353515625,59.037353515625,184.97027587890625,49.403785481830404,ripe
161.46954345703125,160.74176025390625,119.14080810546875,67.49188232421875,102.40289306640625,173.2813720703125,52.13582066649912,ripe
163.29718017578125,167.335693359375,157.9158935546875,86.29876708984375,69.3692626953125,183.22930908203125,46.27056372882848,ripe
173.40802001953125,175.529296875,154.54827880859375,84.572021484375,70.58831787109375,187.93780517578125,49.466354879172016,ripe
178.39483642578125,180.244140625,156.9752197265625,85.6917724609375,69.715087890625,191.2108154296875,49.547324241886535,ripe
142.5537109375,135.0321044921875,104.96405029296875,58.9029541015625,100.0413818359375,156.049560546875,51.080733565119544,ripe
159.48797607421875,151.8582763671875,131.40850830078125,68.722900390625,42.038330078125,162.23773193359375,40.36045767127022,ripe
114.77520751953125,115.611572265625,96.7672119140625,60.191650390625,60.55328369140625,123.0096435546875,84.75228527583394,ripe
125.48858642578125,129.42681884765625,114.2965087890625,67.657470703125,73.8326416015625,142.8289794921875,75.92427288898152,ripe
120.724853515625,123.7672119140625,111.67498779296875,66.8089599609375,52.27545166015625,131.2452392578125,83.00892755686233,ripe
169.8514404296875,164.7413330078125,145.8974609375,81.2196044921875,32.41815185546875,172.4339599609375,32.628325343620375,ripe
135.18621826171875,138.17352294921875,122.396728515625,71.8363037109375,57.78936767578125,146.32177734375,76.96164664437865,ripe
173.09771728515625,178.617431640625,168.7486572265625,87.18658447265625,69.143310546875,195.52886962890625,46.95193184443224,ripe
191.45294189453125,176.56591796875,169.4952392578125,116.386962890625,39.590576171875,192.275146484375,27.473835498232393,ripe
167.37310791015625,167.25909423828125,128.8121337890625,76.88671875,94.4954833984375,177.8565673828125,55.13462399863599,ripe
96.2486572265625,103.5853271484375,100.3408203125,87.42230224609375,95.646484375,122.87322998046875,45.91109181050632,ripe
163.11962890625,166.71722412109375,144.7125244140625,83.74560546875,78.40234375,179.0052490234375,46.563749783228594,ripe
166.8919677734375,169.4176025390625,137.4610595703125,79.7681884765625,90.0960693359375,182.629150390625,47.9881277609343,ripe
161.7862548828125,165.885009765625,138.5177001953125,78.61517333984375,94.87664794921875,182.29742431640625,46.55015383870369,ripe
163.8231201171875,165.2406005859375,129.78741455078125,75.737060546875,92.5050048828125,176.24151611328125,50.640404431376105,ripe
164.47998046875,169.8389892578125,147.3349609375,82.861328125,88.5958251953125,186.81365966796875,43.45439208878034,ripe
165.4796142578125,169.9429931640625,158.189208984375,82.22265625,72.53277587890625,185.98492431640625,49.055081237605,ripe
174.015869140625,162.15216064453125,126.97406005859375,51.64276123046875,73.87139892578125,174.96661376953125,61.08243454809262,ripe
178.79205322265625,183.67218017578125,169.93218994140625,89.82037353515625,56.48675537109375,194.28631591796875,42.36617050623961,ripe
